DPC施設名,都道府県,病院類型,DPC算定病床数,病床総数,マッチ状態,スコア,病床報告施設名,候補2,候補3
医療法人賢仁会産婦人科菅原病院,埼玉県,令和5年度出来高算定病院,50.0,50.0,サフィックス一致,0.9,産婦人科菅原病院,,
医療法人秀峰会北辰病院,埼玉県,令和5年度出来高算定病院,0.0,238.0,未結合,,,,
医療法人移山会二宮病院,埼玉県,令和5年度出来高算定病院,60.0,60.0,完全一致,1.0,医療法人移山会二宮病院,,
芳香会病院青嵐荘療育園,茨城県,令和5年度出来高算定病院,0.0,56.0,完全一致,1.0,芳香会病院青嵐荘療育園,,
医療法人杏仁会大圃病院,茨城県,令和5年度出来高算定病院,51.0,159.0,サフィックス一致,0.9,大圃病院,,
医療法人社団武蔵野会狭山神経内科病院,埼玉県,令和5年度出来高算定病院,0.0,147.0,完全一致,1.0,医療法人社団武蔵野会狭山神経内科病院,,
医療法人十善病院,埼玉県,令和5年度出来高算定病院,36.0,36.0,完全一致,1.0,医療法人十善病院,,
国立障害者リハビリテーションセンター病院,埼玉県,令和5年度出来高算定病院,80.0,160.0,完全一致,1.0,国立障害者リハビリテーションセンター病院,,
医療法人社団清志会山本病院,千葉県,令和5年度出来高算定病院,60.0,60.0,完全一致,1.0,医療法人社団清志会山本病院,,
湘南メディカル記念病院,東京都,令和5年度出来高算定病院,0.0,89.0,完全一致,1.0,湘南メディカル記念病院,,
社会福祉法人児玉新生会児玉経堂病院,東京都,令和5年度出来高算定病院,0.0,120.0,完全一致,1.0,社会福祉法人児玉新生会児玉経堂病院,,
社会福祉法人邦友会なす療育園,栃木県,令和5年度出来高算定病院,0.0,55.0,サフィックス一致,0.9,なす療育園,,
医療法人社団あかね会矢板南病院,栃木県,令和5年度出来高算定病院,0.0,128.0,サフィックス一致,0.9,矢板南病院,,
医療法人錦会小倉中井病院,福岡県,令和5年度出来高算定病院,0.0,140.0,サフィックス一致,0.9,小倉中井病院,,
社会福祉法人聖家族会みさかえの園あゆみの家,長崎県,令和5年度出来高算定病院,0.0,110.0,サフィックス一致,0.9,みさかえの園あゆみの家,,
医療法人保田窪会保田窪整形外科病院,熊本県,令和5年度出来高算定病院,39.0,39.0,完全一致,1.0,医療法人保田窪会 保田窪整形外科病院,,
八代市医師会立病院,熊本県,令和5年度出来高算定病院,0.0,100.0,サフィックス一致,0.9,一般社団法人八代市医師会 八代市医師会立病院,,
間部病院,熊本県,令和5年度出来高算定病院,0.0,35.0,完全一致,1.0,間部病院,,
別府発達医療センター,大分県,令和5年度出来高算定病院,0.0,120.0,完全一致,1.0,社会福祉法人別府発達医療センター,,
大月町国民健康保険大月病院,高知県,令和5年度出来高算定病院,25.0,25.0,完全一致,1.0,大月町国民健康保険大月病院,,
社会福祉法人あきの会障がい児者医療生活支援ホーム虹の家,福岡県,令和5年度出来高算定病院,0.0,68.0,サフィックス一致,0.9,障がい児者医療生活支援ホーム虹の家,,
﨑元病院,鹿児島県,令和5年度出来高算定病院,0.0,40.0,完全一致,1.0,﨑元病院,,
南さつま市立坊津病院,鹿児島県,令和5年度出来高算定病院,26.0,26.0,完全一致,1.0,南さつま市立坊津病院,,
医療法人天仁会天久台病院,沖縄県,令和5年度出来高算定病院,0.0,333.0,未結合,,,,
沖縄南部療育医療センター,沖縄県,令和5年度出来高算定病院,0.0,140.0,完全一致,1.0,沖縄南部療育医療センター,,
医療法人社団志誠会平和病院,沖縄県,令和5年度出来高算定病院,0.0,212.0,未結合,,,,
沖縄中部療育医療センター,沖縄県,令和5年度出来高算定病院,0.0,80.0,完全一致,1.0,沖縄中部療育医療センター,,
医療法人社団翠会八幡厚生病院,福岡県,令和5年度出来高算定病院,0.0,315.0,未結合,,,,
青山リハビリテーション病院,福岡県,令和5年度出来高算定病院,0.0,50.0,完全一致,1.0,青山リハビリテーション病院,,
社会医療法人憲仁会牧田病院,北海道,令和5年度出来高算定病院,0.0,57.0,完全一致,1.0,医療法人社団憲仁会 牧田病院,,
医療法人社団北札幌病院,北海道,令和5年度出来高算定病院,35.0,95.0,完全一致,1.0,医療法人社団 北札幌病院,,
医療法人同仁会　札幌ススキノ病院,北海道,令和5年度出来高算定病院,0.0,50.0,完全一致,1.0,医療法人同仁会 札幌ススキノ病院,,
八雲町熊石国民健康保険病院,北海道,令和5年度出来高算定病院,60.0,60.0,完全一致,1.0,八雲町熊石国民健康保険病院,,
厚沢部町国民健康保険病院,北海道,令和5年度出来高算定病院,45.0,69.0,完全一致,1.0,厚沢部町国民健康保険病院,,
町立下川病院,北海道,令和5年度出来高算定病院,41.0,41.0,完全一致,1.0,町立下川病院,,
つくし園,大分県,令和5年度出来高算定病院,0.0,40.0,完全一致,1.0,つくし園,,
社会医療法人如月会若草病院,宮崎県,令和5年度出来高算定病院,0.0,106.0,未結合,,,,
日高町立門別国民健康保険病院,北海道,令和5年度出来高算定病院,24.0,34.0,完全一致,1.0,日高町立門別国民健康保険病院,,
標津町国民健康保険標津病院,北海道,令和5年度出来高算定病院,35.0,35.0,完全一致,1.0,標津町国民健康保険標津病院,,
足寄町国民健康保険病院,北海道,令和5年度出来高算定病院,60.0,60.0,完全一致,1.0,足寄町国民健康保険病院,,
浜頓別町国民健康保険病院,北海道,令和5年度出来高算定病院,40.0,40.0,完全一致,1.0,浜頓別町国民健康保険病院,,
弘前記念病院,青森県,令和5年度出来高算定病院,160.0,160.0,完全一致,1.0,弘前記念病院,,
岩手医科大学附属内丸メディカルセンター,岩手県,令和5年度出来高算定病院,50.0,50.0,完全一致,1.0,岩手医科大学附属内丸メディカルセンター,,
医療法人卯の会新垣病院,沖縄県,令和5年度出来高算定病院,0.0,273.0,未結合,,,,
うえむら病院,沖縄県,令和5年度出来高算定病院,62.0,62.0,サフィックス一致,0.9,医療法人海秀会うえむら病院,,
医療法人行堂会長野病院,岡山県,令和5年度出来高算定病院,0.0,86.0,完全一致,1.0,医療法人行堂会長野病院,,
独立行政法人自動車事故対策機構岡山療護センター,岡山県,令和5年度出来高算定病院,0.0,50.0,完全一致,1.0,独立行政法人自動車事故対策機構岡山療護センター,,
社会福祉法人三篠会重症児・者福祉医療施設鈴が峰,広島県,令和5年度出来高算定病院,0.0,110.0,サフィックス一致,0.9,重症児・者福祉医療施設 鈴が峰,,
安佐医師会病院,広島県,令和5年度出来高算定病院,0.0,102.0,完全一致,1.0,安佐医師会病院,,
医療法人賢仁会松岡病院,広島県,令和5年度出来高算定病院,41.0,41.0,サフィックス一致,0.9,松岡病院,,
広島県立福山若草園,広島県,令和5年度出来高算定病院,0.0,60.0,完全一致,1.0,広島県立福山若草園,,
堺市立重症心身障害者（児）支援センター,大阪府,令和5年度出来高算定病院,0.0,60.0,完全一致,1.0,堺市立重症心身障害者（児）支援センター,,
医療法人尚生会湊川病院,兵庫県,令和5年度出来高算定病院,0.0,241.0,未結合,,,,
医療法人玖玉会玖珂中央病院,山口県,令和5年度出来高算定病院,0.0,148.0,サフィックス一致,0.9,玖珂中央病院,,
医療法人むつみホスピタル,徳島県,令和5年度出来高算定病院,0.0,283.0,未結合,,,,
藍里病院,徳島県,令和5年度出来高算定病院,0.0,228.0,未結合,,,,
井上病院,徳島県,令和5年度出来高算定病院,0.0,60.0,完全一致,1.0,井上病院,,
医療法人社団光風会三光病院,香川県,令和5年度出来高算定病院,0.0,320.0,未結合,,,,
医療法人社団寿愛会羽崎病院,香川県,令和5年度出来高算定病院,40.0,100.0,完全一致,1.0,医療法人社団寿愛会羽崎病院,,
一般財団法人新宮病院,和歌山県,令和5年度出来高算定病院,0.0,84.0,完全一致,1.0,一般財団法人 新宮病院,,
鳥取県立総合療育センター,鳥取県,令和5年度出来高算定病院,0.0,69.0,完全一致,1.0,鳥取県立総合療育センター,,
愛媛県立子ども療育センター,愛媛県,令和5年度出来高算定病院,0.0,110.0,完全一致,1.0,愛媛県立子ども療育センター,,
医療法人弘仁会岡林病院,高知県,令和5年度出来高算定病院,0.0,91.0,サフィックス一致,0.9,岡林病院,,
医療法人愛生会室戸中央病院,高知県,令和5年度出来高算定病院,0.0,96.0,サフィックス一致,0.9,室戸中央病院,,
土佐希望の家医療福祉センター,高知県,令和5年度出来高算定病院,0.0,142.0,完全一致,1.0,土佐希望の家 医療福祉センター,,
医療法人広正会井上病院,高知県,令和5年度出来高算定病院,0.0,50.0,サフィックス一致,0.9,井上病院,,
幡多希望の家医療福祉センター,高知県,令和5年度出来高算定病院,0.0,51.0,完全一致,1.0,幡多希望の家医療福祉センター,,
重症児・者福祉医療施設原,広島県,令和5年度出来高算定病院,0.0,60.0,完全一致,1.0,重症児・者福祉医療施設原,,
医療法人至誠会梅田病院,山口県,令和5年度出来高算定病院,34.0,34.0,完全一致,1.0,医療法人至誠会梅田病院,,
久山療育園重症児者医療療育センター,福岡県,令和5年度出来高算定病院,0.0,94.0,完全一致,1.0,久山療育園重症児者医療療育センター,,
福間病院,福岡県,令和5年度出来高算定病院,0.0,408.0,未結合,,,,
福岡県立精神医療センター太宰府病院,福岡県,令和5年度出来高算定病院,0.0,300.0,未結合,,,,
柳川療育センター,福岡県,令和5年度出来高算定病院,0.0,120.0,完全一致,1.0,柳川療育センター,,
社会保険二瀬病院,福岡県,令和5年度出来高算定病院,0.0,55.0,完全一致,1.0,社会保険二瀬病院,,
医療法人住田病院,福岡県,令和5年度出来高算定病院,0.0,209.0,未結合,,,,
今治市医師会市民病院,愛媛県,令和5年度出来高算定病院,55.0,55.0,完全一致,1.0,今治市医師会市民病院,,
医療法人天楽会三木病院,愛媛県,令和5年度出来高算定病院,30.0,30.0,サフィックス一致,0.9,三木病院,,
あいせい紀年病院,愛知県,令和5年度出来高算定病院,0.0,218.0,未結合,,,,
医療法人有仁会守山友愛病院,愛知県,令和5年度出来高算定病院,0.0,20.0,完全一致,1.0,医療法人有仁会 守山友愛病院,,
名古屋市立大学医学部附属みらい光生病院,愛知県,令和5年度出来高算定病院,104.0,140.0,完全一致,1.0,名古屋市立大学医学部附属みらい光生病院,,
医療法人善恵会長屋病院,愛知県,令和5年度出来高算定病院,0.0,84.0,完全一致,1.0,医療法人善恵会 長屋病院,,
医療法人大町会犬山駅西病院,愛知県,令和5年度出来高算定病院,0.0,107.0,完全一致,1.0,医療法人大町会犬山駅西病院,,
桶狭間病院藤田こころケアセンター,愛知県,令和5年度出来高算定病院,0.0,283.0,未結合,,,,
医療法人芳州会村井病院,長野県,令和5年度出来高算定病院,0.0,215.0,未結合,,,,
稲荷山医療福祉センター,長野県,令和5年度出来高算定病院,0.0,80.0,完全一致,1.0,稲荷山医療福祉センター,,
甲賀市立信楽中央病院,滋賀県,令和5年度出来高算定病院,19.0,40.0,完全一致,1.0,甲賀市立信楽中央病院,,
一般財団法人薬師山病院,京都府,令和5年度出来高算定病院,0.0,30.0,完全一致,1.0,一般財団法人薬師山病院,,
医療法人河端病院,京都府,令和5年度出来高算定病院,50.0,50.0,完全一致,1.0,医療法人河端病院,,
医療法人八仁会久御山南病院,京都府,令和5年度出来高算定病院,0.0,60.0,完全一致,1.0,医療法人八仁会久御山南病院,,
医療法人長安会中村病院,京都府,令和5年度出来高算定病院,0.0,103.0,完全一致,1.0,医療法人長安会中村病院,,
花ノ木医療福祉センター,京都府,令和5年度出来高算定病院,0.0,150.0,サフィックス一致,0.9,重症心身障害児施設花ノ木医療福祉センター,,
医療法人湘山会眼科三宅病院,愛知県,令和5年度出来高算定病院,48.0,48.0,完全一致,1.0,医療法人湘山会眼科三宅病院,,
名古屋市重症心身障害児者施設,愛知県,令和5年度出来高算定病院,0.0,90.0,完全一致,1.0,名古屋市重症心身障害児者施設,,
医療法人穂仁会原病院,大阪府,令和5年度出来高算定病院,0.0,94.0,完全一致,1.0,医療法人穂仁会原病院,,
医療法人誠真会関目病院,大阪府,令和5年度出来高算定病院,0.0,48.0,完全一致,1.0,医療法人誠真会関目病院,,
