DPC施設名,都道府県,病院類型,DPC算定病床数,病床総数,マッチ状態,スコア,病床報告施設名,候補2,候補3
たむら市民病院,福島県,令和5年度出来高算定病院,20.0,32.0,完全一致,1.0,たむら市民病院,,
社会福祉法人鶴風会東京小児療育病院,東京都,令和4年度出来高算定病院,0.0,176.0,完全一致,1.0,社会福祉法人鶴風会東京小児療育病院,,
医療法人社団恵愛会恵愛会松南病院,石川県,令和4年度出来高算定病院,35.0,35.0,サフィックス一致,0.9,恵愛会松南病院,,
医療法人峡南会峡南病院,山梨県,令和4年度出来高算定病院,40.0,40.0,サフィックス一致,0.9,峡南病院,,
愛知県青い鳥医療療育センター,愛知県,令和4年度出来高算定病院,0.0,170.0,完全一致,1.0,愛知県青い鳥医療療育センター,,
愛知県三河青い鳥医療療育センター,愛知県,令和4年度出来高算定病院,0.0,140.0,完全一致,1.0,愛知県三河青い鳥医療療育センター,,
一宮医療療育センター,愛知県,令和4年度出来高算定病院,0.0,128.0,完全一致,1.0,一宮医療療育センター,,
医療法人大田原厚生会室井病院,栃木県,令和4年度出来高算定病院,29.0,204.0,サフィックス一致,0.9,室井病院,,
カルガモの家,埼玉県,令和4年度出来高算定病院,0.0,44.0,完全一致,1.0,カルガモの家,,
びわこ学園医療福祉センター草津,滋賀県,令和4年度出来高算定病院,0.0,126.0,完全一致,1.0,びわこ学園医療福祉センター草津,,
